City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
197,Kidal,ML,2022-10-14 15:07:43,18.4411,1.4078,100.15,8,0,10.49
198,Gopalpur,IN,2022-10-14 15:07:43,19.2667,84.9167,79.97,82,10,5.28
199,Savannah Bight,HN,2022-10-14 15:07:44,16.45,-85.85,82.2,79,100,13.51
200,Jalor,IN,2022-10-14 15:07:44,25.35,72.6167,85.03,26,0,3.04
201,Saint-Joseph,RE,2022-10-14 15:07:44,-21.3667,55.6167,71.98,73,38,12.21
202,Codrington,AU,2022-10-14 15:07:45,-38.2667,141.9667,45.23,96,19,9.48
203,Lagoa,PT,2022-10-14 15:03:10,39.05,-27.9833,69.67,90,90,11.5
204,Lujan,AR,2022-10-14 15:06:04,-34.5703,-59.105,61.83,50,86,4.0
205,Kirkwall,GB,2022-10-14 15:07:45,58.9848,-2.9587,48.25,76,40,10.36
206,Pondicherry,IN,2022-10-14 15:07:46,11.93,79.83,81.46,77,38,7.65
207,Road Town,VG,2022-10-14 15:07:46,18.4167,-64.6167,87.89,66,40,6.91
208,Fomboni,KM,2022-10-14 15:07:47,-12.28,43.7425,77.02,70,0,7.31
209,Bardiyah,LY,2022-10-14 15:07:47,31.7561,25.0865,80.28,48,98,4.0
210,Bunia,CD,2022-10-14 15:07:47,1.5667,30.25,74.68,67,30,3.15
211,Grand-Santi,GF,2022-10-14 15:07:48,4.25,-54.3833,86.29,60,96,4.7
212,Vardo,NO,2022-10-14 15:07:48,70.3705,31.1107,37.38,100,75,2.3
213,Ghanzi,BW,2022-10-14 15:07:48,-21.5667,21.7833,95.23,8,85,12.19
214,Clyde River,CA,2022-10-14 15:07:49,70.4692,-68.5914,20.23,85,76,3.67
215,Yarumela,HN,2022-10-14 15:07:49,14.3333,-87.6333,79.09,79,99,1.3
216,Ondjiva,AO,2022-10-14 15:07:49,-17.0667,15.7333,97.66,13,77,9.13
217,Nurobod,UZ,2022-10-14 15:07:49,40.9056,69.8023,64.36,17,65,3.06
218,Andenes,NO,2022-10-14 15:07:50,69.3143,16.1194,44.58,70,20,4.61
219,Parana,AR,2022-10-14 15:07:50,-31.732,-60.5238,64.45,32,97,14.05
220,Darnah,LY,2022-10-14 15:07:50,32.767,22.6367,75.67,60,67,14.09
221,Berlevag,NO,2022-10-14 15:07:51,70.8578,29.0864,35.6,86,40,5.75
222,Ondarroa,ES,2022-10-14 15:07:51,43.3167,-2.4167,75.52,70,21,3.42
223,Mahebourg,MU,2022-10-14 15:07:52,-20.4081,57.7,72.25,70,6,13.98
