City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Namibe,AO,-15.1961,12.1522,67.12,86,46,8.43,scattered clouds
224,Hambantota,LK,6.1241,81.1185,78.06,81,97,14.03,overcast clouds
225,Nizwa,OM,22.9333,57.5333,74.03,29,94,0.89,overcast clouds
226,Lukovetskiy,RU,64.2956,41.9211,43.11,83,100,11.68,light rain
227,Maniitsoq,GL,65.4167,-52.9,36.91,94,100,19.73,moderate rain
228,Khorramabad,IR,33.4878,48.3558,58.62,25,0,6.91,clear sky
229,Faya,SA,18.3851,42.4509,59.52,30,64,5.03,broken clouds
230,Mehamn,NO,71.0357,27.8492,40.95,81,75,25.32,light intensity drizzle rain
231,Genoa,IT,44.4129,8.9573,69.55,80,0,3.0,clear sky
232,Laguna,US,38.421,-121.4238,80.76,47,0,4.61,clear sky
233,Sioux Lookout,CA,50.1001,-91.917,26.67,59,75,12.66,broken clouds
234,Lahij,YE,13.1667,44.5833,76.19,74,0,5.28,clear sky
235,Chimoio,MZ,-19.1164,33.4833,63.45,94,15,1.39,few clouds
236,Divnomorskoye,RU,44.5011,38.1353,52.25,89,6,9.8,clear sky
237,Goderich,CA,43.7501,-81.7165,45.91,81,99,13.8,overcast clouds
238,Zenzeli,RU,45.9241,47.0474,49.01,70,58,0.69,broken clouds
239,Bocaiuva,BR,-17.1078,-43.815,80.31,25,6,7.38,clear sky
240,Qeshm,IR,26.9581,56.2719,80.49,64,54,5.55,broken clouds
241,Boddam,GB,57.4667,-1.7833,52.18,84,34,20.94,scattered clouds
242,Clearwater,US,27.9659,-82.8001,82.36,77,0,10.36,clear sky
243,Wooster,US,40.8051,-81.9351,45.48,56,100,13.8,overcast clouds
244,Ayagoz,KZ,47.9714,80.4392,42.67,83,100,5.55,overcast clouds
245,Fiumicino,IT,41.7675,12.2291,69.66,67,1,2.89,clear sky
246,Kasongo-Lunda,CD,-6.4667,16.8167,70.03,97,99,1.12,light rain
247,Olinda,BR,-8.0089,-34.8553,80.33,69,40,10.36,scattered clouds
248,Springdale,US,36.1867,-94.1288,56.68,26,0,17.27,clear sky
249,Sur,OM,22.5667,59.5289,78.8,40,96,7.65,overcast clouds
250,Pimentel,PE,-6.8367,-79.9342,64.69,72,40,19.57,scattered clouds
251,Balkanabat,TM,39.5108,54.3671,67.69,43,18,6.04,few clouds
252,Baie-Comeau,CA,49.2168,-68.1489,44.28,93,0,3.44,clear sky
253,Mahanje,TZ,-9.9333,35.3333,64.2,56,31,3.62,scattered clouds
254,Maarianhamina,AX,60.0973,19.9348,46.26,93,100,2.3,moderate rain
255,Vytegra,RU,61.0064,36.4481,45.48,84,89,11.12,overcast clouds
256,Alanya,TR,36.5438,31.9998,64.53,55,92,6.82,overcast clouds
257,Semey,KZ,50.4111,80.2275,41.9,68,91,5.57,overcast clouds
258,Lakselv,NO,70.0513,24.9718,39.02,75,20,16.11,few clouds
259,Gravdal,NO,68.1214,13.5031,43.36,61,100,14.43,overcast clouds
260,Saint-Leu,RE,-21.15,55.2833,67.32,77,47,3.83,scattered clouds
261,Lucapa,AO,-8.4192,20.7447,65.23,95,91,2.1,light rain
262,Ushtobe,KZ,45.2514,77.9838,54.1,80,100,4.7,overcast clouds
263,Inhambane,MZ,-23.865,35.3833,72.1,82,43,6.96,scattered clouds
264,Synya,RU,65.3718,58.0387,42.33,93,100,11.05,light rain
265,Pietarsaari,FI,63.65,22.6833,45.9,83,37,13.4,scattered clouds
266,Am Timan,TD,11.0297,20.2827,75.4,65,100,4.74,overcast clouds
267,Urdoma,RU,61.7533,48.5442,42.48,88,100,9.55,light rain
268,Macusani,PE,-14.0833,-70.4333,39.18,93,99,9.44,overcast clouds
269,Diffa,NE,13.3154,12.6113,85.28,19,7,7.45,clear sky
270,Patti,IN,31.2808,74.8572,66.27,50,0,4.43,clear sky
271,Porto Novo,BJ,6.4965,2.6036,80.42,85,88,4.9,overcast clouds
272,Kapuskasing,CA,49.4169,-82.4331,33.89,100,100,17.27,overcast clouds
273,Torbay,CA,47.6666,-52.7314,59.76,97,75,6.91,broken clouds
274,Tulsipur,NP,28.131,82.2973,64.31,89,8,3.62,clear sky
275,Coruripe,BR,-10.1256,-36.1756,74.32,82,39,9.24,scattered clouds
276,Dondo,MZ,-19.6094,34.7431,74.71,90,80,2.8,broken clouds
277,Oranjemund,NA,-28.55,16.4333,60.12,87,26,4.18,scattered clouds
278,Oksovskiy,RU,62.6062,39.8984,40.98,82,61,11.34,broken clouds
279,San Ignacio,BZ,17.1561,-89.0714,93.34,59,40,0.0,light rain
280,Chake Chake,TZ,-5.2459,39.7666,72.72,85,24,6.33,few clouds
281,Mizan Teferi,ET,6.9833,35.5833,59.77,97,98,2.06,light rain
282,Elliot Lake,CA,46.3834,-82.6331,35.96,81,100,13.2,overcast clouds
283,Grootfontein,NA,-19.5667,18.1167,62.17,88,24,6.91,few clouds
284,Kutum,SD,14.2,24.6667,74.37,27,1,11.48,clear sky
285,Karatau,KZ,43.1667,70.4667,51.76,71,100,3.89,light rain
286,Bilma,NE,18.6853,12.9164,80.98,25,0,8.61,clear sky
287,Votkinsk,RU,57.0486,53.9872,39.78,81,96,13.42,overcast clouds
288,Altamira,BR,-3.2033,-52.2064,81.75,68,84,5.3,broken clouds
289,Douentza,ML,14.9951,-2.9517,90.95,28,44,3.91,scattered clouds
290,Bosaso,SO,11.2842,49.1816,78.33,70,0,5.08,clear sky
291,Bertoua,CM,4.5833,13.6833,67.98,93,72,2.04,broken clouds
292,Abu Zabad,SD,12.35,29.25,82.6,37,81,5.57,broken clouds
293,Saldanha,ZA,-33.0117,17.9442,59.05,91,90,12.73,overcast clouds
294,Putina,PE,-15.4667,-69.4333,47.5,71,83,13.11,broken clouds
295,Oum Hadjer,TD,13.2954,19.6966,84.7,29,3,1.52,clear sky
296,Tallahassee,US,30.4383,-84.2807,82.24,66,0,10.36,clear sky
297,Solntsevo,RU,51.4185,36.7499,46.74,68,100,9.22,overcast clouds
298,Urumqi,CN,43.801,87.6005,49.15,35,0,6.71,clear sky
299,Bacabal,BR,-4.2917,-44.7917,86.16,44,26,3.53,scattered clouds
300,Kuznechnoye,RU,61.12,29.8686,45.0,85,100,9.57,overcast clouds
301,Sambava,MG,-14.2667,50.1667,67.55,86,62,9.28,broken clouds
302,Kommunar,RU,59.6206,30.39,49.55,88,100,9.91,overcast clouds
303,Doha,QA,25.2867,51.5333,84.18,70,0,8.05,clear sky
304,Punto Fijo,VE,11.6956,-70.1996,85.05,68,19,17.18,few clouds
305,Ulvik,NO,60.5672,6.9187,40.1,92,74,4.41,broken clouds
306,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,81,0,8.01,clear sky
307,Borova,UA,50.1763,30.1043,54.34,50,100,6.69,overcast clouds
308,Lasa,IT,46.6166,10.7002,56.28,78,13,2.17,few clouds
309,Narsaq,GL,60.9167,-46.05,32.22,73,100,4.41,overcast clouds
310,Maputo,MZ,-25.9653,32.5892,74.88,83,40,8.05,scattered clouds
311,Richards Bay,ZA,-28.783,32.0377,72.34,86,97,9.62,overcast clouds
312,Igarapava,BR,-20.0383,-47.7469,86.92,33,99,4.59,overcast clouds
313,Piacabucu,BR,-10.4056,-36.4344,74.98,80,75,9.15,broken clouds
314,Carmaux,FR,44.051,2.158,66.47,78,27,8.81,scattered clouds
315,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,89.02,18,8,6.67,clear sky
316,Villazon,BO,-22.0866,-65.5942,64.54,5,7,15.21,clear sky
317,Wielun,PL,51.221,18.5696,60.67,50,25,14.67,scattered clouds
318,Eirunepe,BR,-6.6603,-69.8736,77.68,89,99,1.21,overcast clouds
319,Bom Jesus,BR,-9.0744,-44.3586,91.24,22,77,8.93,broken clouds
320,Leh,IN,34.1667,77.5833,38.07,57,100,4.68,overcast clouds
321,Bridlicna,CZ,49.9117,17.3711,57.52,72,25,3.0,scattered clouds
322,Cabedelo,BR,-6.9811,-34.8339,79.47,78,73,13.67,broken clouds
323,Santo Domingo,DO,18.5001,-69.9886,85.64,76,40,1.99,scattered clouds
324,Khurai,IN,24.0436,78.3319,66.6,56,2,3.51,clear sky
325,Damavand,IR,35.7178,52.065,55.17,28,19,2.89,few clouds
326,Sindor,RU,62.8629,51.8905,41.72,93,100,8.3,light rain
327,Inirida,CO,3.8653,-67.9239,77.02,93,97,2.39,overcast clouds
